START model=claude-opus-4-8 cwd=<repo>/code HERE=<repo>/code
model=claude-opus-4-8 base=https://api.v36.cm/v1 cap=8192 total=40 out=<repo>/code/results/xmodel_claude-opus-4-8.jsonl
[1/40] gpqa-0|clean ct=456 finish=stop nonterm=false
[2/40] gpqa-0|adversarial ct=579 finish=stop nonterm=false
[3/40] gpqa-1|clean ct=318 finish=stop nonterm=false
[4/40] gpqa-1|adversarial ct=813 finish=stop nonterm=false
[5/40] gpqa-2|clean ct=140 finish=stop nonterm=false
[6/40] gpqa-2|adversarial ct=364 finish=stop nonterm=false
[7/40] gpqa-3|clean ct=434 finish=stop nonterm=false
[8/40] gpqa-3|adversarial ct=345 finish=stop nonterm=false
[9/40] gpqa-4|clean ct=68 finish=stop nonterm=false
[10/40] gpqa-4|adversarial ct=252 finish=stop nonterm=false
[11/40] gpqa-5|clean ct=257 finish=stop nonterm=false
[12/40] gpqa-5|adversarial ct=327 finish=stop nonterm=false
[13/40] gpqa-6|clean ct=127 finish=stop nonterm=false
[14/40] gpqa-6|adversarial ct=599 finish=stop nonterm=false
[15/40] gpqa-7|clean ct=680 finish=stop nonterm=false
[16/40] gpqa-7|adversarial ct=617 finish=stop nonterm=false
[17/40] gpqa-8|clean ct=776 finish=stop nonterm=false
[18/40] gpqa-8|adversarial ct=1071 finish=stop nonterm=false
[19/40] gpqa-9|clean ct=186 finish=stop nonterm=false
[20/40] gpqa-9|adversarial ct=195 finish=stop nonterm=false
[21/40] gpqa-10|clean ct=737 finish=stop nonterm=false
[22/40] gpqa-10|adversarial ct=811 finish=stop nonterm=false
[23/40] gpqa-11|clean ct=306 finish=stop nonterm=false
[24/40] gpqa-11|adversarial ct=961 finish=stop nonterm=false
[25/40] gpqa-12|clean ct=649 finish=stop nonterm=false
[26/40] gpqa-12|adversarial ct=1057 finish=stop nonterm=false
[27/40] gpqa-13|clean ct=663 finish=stop nonterm=false
[28/40] gpqa-13|adversarial ct=429 finish=stop nonterm=false
[29/40] gpqa-14|clean ct=241 finish=stop nonterm=false
[30/40] gpqa-14|adversarial ct=262 finish=stop nonterm=false
[31/40] gpqa-15|clean ct=809 finish=stop nonterm=false
[32/40] gpqa-15|adversarial ct=840 finish=stop nonterm=false
[33/40] gpqa-16|clean ct=276 finish=stop nonterm=false
[34/40] gpqa-16|adversarial ct=425 finish=stop nonterm=false
[35/40] gpqa-17|clean ct=385 finish=stop nonterm=false
[36/40] gpqa-17|adversarial ct=305 finish=stop nonterm=false
[37/40] gpqa-18|clean ct=553 finish=stop nonterm=false
[38/40] gpqa-18|adversarial ct=594 finish=stop nonterm=false
[39/40] gpqa-19|clean ct=230 finish=stop nonterm=false
[40/40] gpqa-19|adversarial ct=226 finish=stop nonterm=false
DONE. wrote <repo>/code/results/xmodel_claude-opus-4-8.jsonl
